YEAR,ECOSUBCD,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,313Ba,15,white fir,Abies concolor,0.0021750202015436,2.38333220541421,Expand,0.000492251413829181,0.219957052772935,0.0912596320648297,0.113223162014935,0.156132958287874,0.0256464421404242,4.95592960505152e-06,0.989525449763003,0.00305996877156926,0.00593960411857611,0.0273761761662334,0.000182385692760653,2,81
2018,313Ba,18,corkbark fir,Abies lasiocarpa,-0.00167602934138955,-9.70873786407767,Decline,0,0,0.0172631022163123,0,-0.0970873786407767,-0.0970873786407767,0,0,0,0,-4.60017546511561e-18,3.46594530909514e-18,1,51
2018,313Ba,63,alligator juniper,Juniperus deppeana,-0.000130456064506925,-0.684939130664562,Decline,8.13304374538468e-05,0.407326263129733,0.0190463734172042,0.017951490702734,-0.0317994762439207,-0.000201203647726937,1.6628514346502e-07,4.17092190990606,1.10002665353553e-05,3.50716349291357e-06,0.000399479870438513,0.000446783890119467,3,99
2018,313Ba,65,Utah juniper,Juniperus osteosperma,0.00243176625163656,1.75485105181544,Expand,0.000156169613905162,0.128891294053263,0.138573940456134,0.154133219070337,0.0213011534195487,0.0106258534024424,2.56860981537821e-06,1.74965423590805,0.000911049938245088,0.000836483919015071,0.000529573833514908,8.3975149123771e-05,35,407
2018,313Ba,66,Rocky Mountain juniper,Juniperus scopulorum,0.00343072368120706,5.38113381423291,Expand,0.000193187223081007,0.259757914886813,0.0637546621147558,0.0832687086714618,0.084714621481995,0.0375349127721142,3.90148092835374e-06,7.05359090028974,0.000139900204419168,0.000378644115469639,0.00898403841268912,0.000171057428086966,35,404
2018,313Ba,69,oneseed juniper,Juniperus monosperma,-0.0016066716786403,-1.07147491512701,Decline,9.86060525175687e-05,0.0653556779065377,0.149949537404695,0.141736567558898,-0.0163255282366554,-0.0252069972730589,1.12780490244674e-06,0.495442752080493,0.000454406950359564,0.000457333562938997,0.000303363495155252,5.32109899379831e-05,45,448
2018,313Ba,93,Engelmann spruce,Picea engelmannii,-0.000389247773862841,-0.745637602796161,Stable,0.00066599154377963,1.24534987450168,0.052203345486219,0.0584469433923192,-0.0550645604966878,-0.0446325859598837,2.09650468285254e-05,73.3062780287266,0.000418578611058224,0.000854103058081777,0.00170363044706866,0.00294990234805885,5,184
2018,313Ba,96,blue spruce,Picea pungens,-0.00189702491591727,-2.52414062387552,Decline,0.00181121895756898,2.00150116322641,0.0751552785123602,0.0412697099804282,0.0573482880523212,0.0471959078342464,7.73443546618235e-05,94.4492260491638,0.00358827235076815,0.000458726944489288,0.044172183735445,0.0364906465990614,3,93
2018,313Ba,106,common or two-needle pinyon,Pinus edulis,-2.0987184404434e-05,-0.0127929498072784,Stable,4.32768778101667e-05,0.0263967945701972,0.164052737801673,0.164234349662963,-0.0032138733525016,-0.00701288830833653,2.00662793114277e-07,0.0746547414552005,0.000317498098683436,0.000347979876151269,8.98316548766403e-06,2.01914097287267e-05,83,414
2018,313Ba,114,southwestern white pine ,Pinus strobiformis,0.000443237589930093,2.69113271075266,Expand,4.69357201654919e-05,0.0886571368434905,0.0164702984791162,0.0206980715346315,0.0205096651797159,0.0304292880949061,9.55251870545177e-08,0.340830403334548,7.25481375549915e-05,0.000133023591598399,9.57786447767685e-05,2.84955856346822e-05,3,169
