YEAR,ECODIV,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,M24,901,black locust,Robinia pseudoacacia,0.000919678261411328,Inf,Expand,0,,0,0.00919678261411328,Inf,Inf,0,,0,0,,,1,13
2018,M24,920,willow spp.,Salix spp.,-0.00102130059208057,-10.3715499791487,Decline,7.71796229410037e-05,0.025282858953779,0.00984713561747119,0,-0.10245586690895,-0.103586009998135,1.74557121366954e-07,0.0187320207430411,1.62038988579034e-05,0,3.39680855133815e-06,1.72440172085565e-06,5,115
2018,M24,926,balsam willow,Salix pyrifolia,,,Stable,,,,,,,,,,,,,0,27
2018,M24,927,white willow,Salix alba,-0.00184567617961479,-10.1010101010101,Decline,1.5902150295644e-11,,0.0182721941781864,0,-0.101010101010101,-0.101010101010101,1.22044331935619e-21,-3.6554109694744e-14,0,0,0,0,1,21
2018,M24,981,California-laurel,Umbellularia californica,0.00354845610283923,3.56604164424869,Expand,0.000171121737882862,0.170854573489873,0.0995068610194775,0.134868742609439,0.0347208013261151,0.0388455058183715,1.52894069432526e-06,1.52417029345938,0.000359005607969011,0.00064743072153335,0.000779783757317482,6.88742480709176e-05,43,203
2018,M24,998,Unknown dead hardwood,Tree broadleaf,0,,Stable,0,,0,0,,,0,,0,0,,,0,137
2018,M24,999,Other or unknown live tree,Tree unknown,-0.000899117495413344,-10.5711790823069,Decline,3.49471950301053e-05,0.17344294729298,0.00850536622653768,0,-0.102512054730897,-0.109563982104652,2.38659704770049e-09,0.0587851649807908,7.1319043030857e-08,0,3.02041733611278e-07,1.50410679041699e-07,2,10
2018,M26,11,Pacific silver fir,Abies amabilis,0.0124512834381079,27.5021564182329,Expand,0.00271193271874061,25.2783538525999,0.0452738441624643,0.169475675797932,0.261493391570123,0.333445014875672,3.35768057410335e-05,2917.2868498548,0.00543073169661964,0.00345324750818885,0.257773370928341,0.283352904396785,2,20
2018,M26,15,white fir,Abies concolor,0.000609298007778093,0.28409305690497,Expand,3.1787776836714e-05,0.0150353145424158,0.214471277269512,0.22059231737962,-0.00275509130517238,0.00324644845685169,5.06551109994492e-08,0.0113325592053775,3.46008533730498e-05,3.5408030122338e-05,3.34135073074e-06,2.05441544808167e-06,1187,195
2018,M26,17,grand fir,Abies grandis,-0.000537109343560722,-0.768705461852756,Decline,0.000310436072514771,0.417389913517636,0.0698719301754623,0.0638865154274109,0.0183983067157408,-0.00484104558718201,4.80602683501046e-06,8.68811839471585,0.000387085832023885,9.82440744657199e-05,0.00230821460066742,0.000437391452086744,41,194
