grps,n,int,rate,upper_int,upper_rate,lower_int,lower_rate,fe_int,fe_rate,upper_fe_int,upper_fe_rate,lower_fe_int,lower_fe_rate
363,2,366.504755652054,-0.868433447417913,594.526611242193,-0.657317699423995,228.512109534325,-1.09112809102128,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
365,30,293.205186119094,-0.837917600033455,339.853672856445,-0.635867640720862,268.336503158483,-0.965760620294448,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
366,68,255.765257688318,-0.735910067489179,303.238202167806,-0.584008978036694,216.72469890563,-0.892881654324189,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
367,121,227.851706816663,-1.04279964279001,270.264296254613,-0.922989148883592,188.930958494857,-1.15759781758968,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
368,29,169.12315963147,-0.815769084622078,226.547625150685,-0.654421636538669,125.389778773403,-1.01206390587273,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
369,589,179.547900104546,-0.805706369094498,194.271053996633,-0.741754803393881,169.470991943324,-0.87732296433741,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
371,909,376.538940469588,-0.889688073143976,392.644965155465,-0.848418375165723,365.241434053857,-0.931260822419822,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
503,1,279.78728791208,-0.80986631969398,528.876579805325,-0.565561012990108,133.803428843947,-1.04460203047756,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
517,1,283.8168459922,-0.812146904092721,550.991847789114,-0.574421163967235,129.207926559779,-1.04884032775132,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
703,73,228.668902362267,-0.845545290559057,249.134114944706,-0.78707625728222,213.233726666419,-0.907837445074027,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
706,9,204.7459527122,-0.743725266487398,325.444918388719,-0.471073156341635,155.58758775791,-0.982431621256955,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
709,12,269.900773534031,-0.782570513831129,368.408755488631,-0.574950409301793,227.001027029897,-1.01859558588095,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
